"Observed","Shannon","Simpson","SampleID","LibraryName","SampleName","Replicate","Tissue","Host","Condition","Stress"
155,3.53851260320184,0.962345232111498,"SRR13758749","SW5","SW5","biological replicate 4","gills","Oryzias melastigma","SW_control","Seawater_control"
201,3.66964362672022,0.966829946427633,"SRR13758750","SW4","SW4","biological replicate 3","gills","Oryzias melastigma","SW_control","Seawater_control"
145,3.34930493792288,0.927960964485943,"SRR13758751","SW3","SW3","biological replicate 2","gills","Oryzias melastigma","SW_control","Seawater_control"
152,3.6940057741941,0.959591815707018,"SRR13758752","SW1","SW1","biological replicate 1","gills","Oryzias melastigma","SW_control","Seawater_control"
163,3.60001702602272,0.963401417841019,"SRR13758972","FW4","SFW4","biological replicate 4","gills","Oryzias melastigma","SFW_intermediate","Intermediate_hypotonic_stress"
123,3.71237717496946,0.971789511412195,"SRR13758973","FW3","SFW3","biological replicate 3","gills","Oryzias melastigma","SFW_intermediate","Intermediate_hypotonic_stress"
179,3.77342602744603,0.973200760694936,"SRR13758974","FW2","SFW2","biological replicate 2","gills","Oryzias melastigma","SFW_intermediate","Intermediate_hypotonic_stress"
101,1.81467889004196,0.67827955020978,"SRR13758978","FWD5","FW5","biological replicate 4","gills","Oryzias melastigma","FW_stress","Freshwater_hypotonic_stress"
86,2.20852252636546,0.805708089624322,"SRR13758979","FWD4","FW4","biological replicate 3","gills","Oryzias melastigma","FW_stress","Freshwater_hypotonic_stress"
117,2.45329990080453,0.839877820272744,"SRR13758981","FWD1","FW1","biological replicate 1","gills","Oryzias melastigma","FW_stress","Freshwater_hypotonic_stress"
